# No observations available
Surface net downward shortwave flux Globalmam, 5.0
Surface upward latent heat fluxann, 5.0
Surface upward sensible heat flux Globalson, 5.0
TOA outgoing shortwave flux assuming clear sky Globalann, 5.0
Surface downwelling shortwave flux in air Globaldjf, 5.0
TOA outgoing longwave flux assuming clear sky Globalmam, 5.0
TOA outgoing longwave flux Globalson, 5.0
Surface downwelling shortwave flux in air Globalmam, 5.0
Surface downwelling shortwave flux in air Globalann, 5.0
Surface upward latent heat fluxjja, 5.0
Surface downwelling longwave flux in air Global djf, 5.0
Surface net downward longwave flux Globaldjf, 5.0
Surface net downward shortwave flux Globalann, 5.0
Surface upward sensible heat flux Globaldjf, 5.0
TOA outgoing longwave flux Globaljja, 5.0
TOA incoming shortwave flux Globaljja, 5.0
Surface upward sensible heat flux Globalmam, 5.0
TOA incoming shortwave flux Globalmam, 5.0
Surface upward latent heat fluxmam, 5.0
TOA outgoing shortwave flux Globaldjf, 5.0
TOA outgoing longwave flux Globalmam, 5.0
TOA outgoing shortwave flux Globalson, 5.0
TOA outgoing shortwave flux assuming clear sky Globaldjf, 5.0
TOA outgoing longwave flux assuming clear sky Globalann, 5.0
TOA outgoing shortwave flux Globalmam, 5.0
Surface downwelling longwave flux in air Global son, 5.0
TOA outgoing longwave flux assuming clear sky Globalson, 5.0
Surface net downward shortwave flux Globalson, 5.0
Surface net downward shortwave flux Globaljja, 5.0
Surface net downward longwave flux Globalmam, 5.0
Surface upward latent heat fluxdjf, 5.0
TOA outgoing shortwave flux assuming clear sky Globalmam, 5.0
TOA incoming shortwave flux Globaldjf, 5.0
Surface downwelling longwave flux in air Global mam, 5.0
Surface downwelling longwave flux in air Global ann, 5.0
Surface upward sensible heat flux Globaljja, 5.0
Surface net downward shortwave flux Globaldjf, 5.0
Surface upward latent heat fluxson, 5.0
TOA outgoing shortwave flux assuming clear sky Globalson, 5.0
Surface net downward longwave flux Globalann, 5.0
TOA outgoing shortwave flux assuming clear sky Globaljja, 5.0
TOA incoming shortwave flux Globalson, 5.0
TOA incoming shortwave flux Globalann, 5.0
TOA outgoing shortwave flux Globaljja, 5.0
TOA outgoing longwave flux assuming clear sky Globaljja, 5.0
Surface downwelling shortwave flux in air Globalson, 5.0
TOA outgoing longwave flux Globaldjf, 5.0
Surface downwelling longwave flux in air Global jja, 5.0
TOA outgoing longwave flux Globalann, 5.0
TOA outgoing longwave flux assuming clear sky Globaldjf, 5.0
Surface upward sensible heat flux Globalann, 5.0
Surface downwelling shortwave flux in air Globaljja, 5.0
Surface net downward longwave flux Globalson, 5.0
Surface net downward longwave flux Globaljja, 5.0
TOA outgoing shortwave flux Globalann, 5.0
