Year; historical; historical-ssp119; historical-ssp126; historical-ssp245; historical-ssp370; historical-ssp585
1850; 0.711222827; 0.711222827; 0.711222827; 0.711222827; 0.711222827; 0.711222827
1851; 1.443316519; 1.443316519; 1.443316519; 1.443316519; 1.443316519; 1.443316519
1852; 2.18206358; 2.18206358; 2.18206358; 2.18206358; 2.18206358; 2.18206358
1853; 2.945194066; 2.945194066; 2.945194066; 2.945194066; 2.945194066; 2.945194066
1854; 3.711826026; 3.711826026; 3.711826026; 3.711826026; 3.711826026; 3.711826026
1855; 4.482170761; 4.482170761; 4.482170761; 4.482170761; 4.482170761; 4.482170761
1856; 5.255565226; 5.255565226; 5.255565226; 5.255565226; 5.255565226; 5.255565226
1857; 6.032167077; 6.032167077; 6.032167077; 6.032167077; 6.032167077; 6.032167077
1858; 6.811178088; 6.811178088; 6.811178088; 6.811178088; 6.811178088; 6.811178088
1859; 7.592625141; 7.592625141; 7.592625141; 7.592625141; 7.592625141; 7.592625141
1860; 8.376206756; 8.376206756; 8.376206756; 8.376206756; 8.376206756; 8.376206756
1861; 9.164070964; 9.164070964; 9.164070964; 9.164070964; 9.164070964; 9.164070964
1862; 9.91823101; 9.91823101; 9.91823101; 9.91823101; 9.91823101; 9.91823101
1863; 10.64576292; 10.64576292; 10.64576292; 10.64576292; 10.64576292; 10.64576292
1864; 11.36757588; 11.36757588; 11.36757588; 11.36757588; 11.36757588; 11.36757588
1865; 12.08432555; 12.08432555; 12.08432555; 12.08432555; 12.08432555; 12.08432555
1866; 12.79699403; 12.79699403; 12.79699403; 12.79699403; 12.79699403; 12.79699403
1867; 13.50669557; 13.50669557; 13.50669557; 13.50669557; 13.50669557; 13.50669557
1868; 14.21320772; 14.21320772; 14.21320772; 14.21320772; 14.21320772; 14.21320772
1869; 14.91698122; 14.91698122; 14.91698122; 14.91698122; 14.91698122; 14.91698122
1870; 15.61812556; 15.61812556; 15.61812556; 15.61812556; 15.61812556; 15.61812556
1871; 16.32392991; 16.32392991; 16.32392991; 16.32392991; 16.32392991; 16.32392991
1872; 17.09152675; 17.09152675; 17.09152675; 17.09152675; 17.09152675; 17.09152675
1873; 17.91383892; 17.91383892; 17.91383892; 17.91383892; 17.91383892; 17.91383892
1874; 18.75464922; 18.75464922; 18.75464922; 18.75464922; 18.75464922; 18.75464922
1875; 19.61165076; 19.61165076; 19.61165076; 19.61165076; 19.61165076; 19.61165076
