SurfRadNSW MedAbsErr ann
SurfRadNSW MedAbsErr djf
SurfRadNSW MedAbsErr mam
SurfRadNSW MedAbsErr jja
SurfRadNSW MedAbsErr son
SurfRadNLW MedAbsErr ann
SurfRadNLW MedAbsErr djf
SurfRadNLW MedAbsErr mam
SurfRadNLW MedAbsErr jja
SurfRadNLW MedAbsErr son
snow MedAbsErr son
snow MedAbsErr djf
snow MedAbsErr mam
soilmoisture MedAbsErr djf
soilmoisture MedAbsErr jja
soilmoisture MedAbsErr mam
soilmoisture MedAbsErr son
permafrost area
fraction area permafrost over zerodeg
offset 1m minus surface
offset surface minus air
attenuation 1m over surface
attenuation surface over air
